UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,,,,
RO,11,00015,Alta Floresta D'Oeste,"23,167",,,,,,,,,
RO,11,00023,Ariquemes,"106,168",,,,,,,,,
RO,11,00031,Cabixi,"5,438",,,,,,,,,
RO,11,00049,Cacoal,"84,813",,,,,,,,,
RO,11,00056,Cerejeiras,"16,444",,,,,,,,,
RO,11,00064,Colorado do Oeste,"16,227",,,,,,,,,
RO,11,00072,Corumbiara,"7,567",,,,,,,,,
RO,11,00080,Costa Marques,"17,855",,,,,,,,,
RO,11,00098,Espigão D'Oeste,"32,047",,,,,,,,,
RO,11,00106,Guajará-Mirim,"45,783",,,,,,,,,
RO,11,00114,Jaru,"51,933",,,,,,,,,
RO,11,00122,Ji-Paraná,"127,907",,,,,,,,,
RO,11,00130,Machadinho D'Oeste,"39,097",,,,,,,,,
RO,11,00148,Nova Brasilândia D'Oeste,"20,459",,,,,,,,,
RO,11,00155,Ouro Preto do Oeste,"36,340",,,,,,,,,
RO,11,00189,Pimenta Bueno,"36,434",,,,,,,,,
RO,11,00205,Porto Velho,519.531 (1),,,,,,,,,
RO,11,00254,Presidente Médici,"19,409",,,,,,,,,
RO,11,00262,Rio Crespo,"3,723",,,,,,,,,
RO,11,00288,Rolim de Moura,"54,702",,,,,,,,,
RO,11,00296,Santa Luzia D'Oeste,"6,781",,,,,,,,,
RO,11,00304,Vilhena,"97,448",,,,,,,,,
RO,11,00320,São Miguel do Guaporé,"22,931",,,,,,,,,
RO,11,00338,Nova Mamoré,"29,757",,,,,,,,,
RO,11,00346,Alvorada D'Oeste,"14,722",,,,,,,,,
RO,11,00379,Alto Alegre dos Parecis,"13,227",,,,,,,,,
RO,11,00403,Alto Paraíso,"20,999",,,,,,,,,
RO,11,00452,Buritis,"38,937",,,,,,,,,
RO,11,00502,Novo Horizonte do Oeste,"8,751",,,,,,,,,
RO,11,00601,Cacaulândia,"6,190",,,,,,,,,
RO,11,00700,Campo Novo de Rondônia,"14,009",,,,,,,,,
RO,11,00809,Candeias do Jamari,"25,983",,,,,,,,,
RO,11,00908,Castanheiras,"3,119",,,,,,,,,
RO,11,00924,Chupinguaia,"10,886",,,,,,,,,
RO,11,00940,Cujubim,"24,226",,,,,,,,,
RO,11,01005,Governador Jorge Teixeira,"8,095",,,,,,,,,
RO,11,01104,Itapuã do Oeste,"10,272",,,,,,,,,
RO,11,01203,Ministro Andreazza,"9,762",,,,,,,,,
RO,11,01302,Mirante da Serra,"11,080",,,,,,,,,
RO,11,01401,Monte Negro,"15,695",,,,,,,,,
RO,11,01435,Nova União,"7,047",,,,,,,,,
RO,11,01450,Parecis,"5,947",,,,,,,,,
RO,11,01468,Pimenteiras do Oeste,"2,191",,,,,,,,,
RO,11,01476,Primavera de Rondônia,"2,939",,,,,,,,,
RO,11,01484,São Felipe D'Oeste,"5,280",,,,,,,,,
RO,11,01492,São Francisco do Guaporé,"19,842",,,,,,,,,
RO,11,01500,Seringueiras,"11,860",,,,,,,,,
RO,11,01559,Teixeirópolis,"4,384",,,,,,,,,
RO,11,01609,Theobroma,"10,494",,,,,,,,,
RO,11,01708,Urupá,"11,665",,,,,,,,,
RO,11,01757,Vale do Anari,"11,028",,,,,,,,,
RO,11,01807,Vale do Paraíso,"6,998",,,,,,,,,
AC,12,00013,Acrelândia,"15,020",,,,,,,,,
AC,12,00054,Assis Brasil,"7,300",,,,,,,,,
AC,12,00104,Brasiléia,"25,848",,,,,,,,,
AC,12,00138,Bujari,"10,111",,,,,,,,,
AC,12,00179,Capixaba,"11,456",,,,,,,,,
AC,12,00203,Cruzeiro do Sul,"87,673",,,,,,,,,
AC,12,00252,Epitaciolândia,"18,122",,,,,,,,,
AC,12,00302,Feijó,"34,675",,,,,,,,,
AC,12,00328,Jordão,"8,159",,,,,,,,,
AC,12,00336,Mâncio Lima,"18,638",,,,,,,,,
AC,12,00344,Manoel Urbano,"9,336",,,,,,,,,
AC,12,00351,Marechal Thaumaturgo,"18,430",,,,,,,,,
AC,12,00385,Plácido de Castro,"19,565",,,,,,,,,
AC,12,00393,Porto Walter,"11,720",,,,,,,,,
AC,12,00401,Rio Branco,"401,155",,,,,,,,,
AC,12,00427,Rodrigues Alves,"18,504",,,,,,,,,
AC,12,00435,Santa Rosa do Purus,"6,362",,,,,,,,,
AC,12,00450,Senador Guiomard,"22,810",,,,,,,,,
AC,12,00500,Sena Madureira,"45,177",,,,,,,,,
AC,12,00609,Tarauacá,"41,976",,,,,,,,,
AC,12,00708,Xapuri,"19,048",,,,,,,,,
AC,12,00807,Porto Acre,"18,180",,,,,,,,,
AM,13,00029,Alvarães,"15,860",,,,,,,,,
AM,13,00060,Amaturá,"11,332",,,,,,,,,
AM,13,00086,Anamã,"13,269",,,,,,,,,
AM,13,00102,Anori,"20,538",,,,,,,,,
AM,13,00144,Apuí,"21,583",,,,,,,,,
AM,13,00201,Atalaia do Norte,"19,438",,,,,,,,,
AM,13,00300,Autazes,"38,830",,,,,,,,,
AM,13,00409,Barcelos,"27,364",,,,,,,,,
AM,13,00508,Barreirinha,"31,593",,,,,,,,,
AM,13,00607,Benjamin Constant,"42,020",,,,,,,,,
AM,13,00631,Beruri,"19,258",,,,,,,,,
AM,13,00680,Boa Vista do Ramos,"18,781",,,,,,,,,
AM,13,00706,Boca do Acre,"33,976",,,,,,,,,
AM,13,00805,Borba,"40,565",,,,,,,,,
AM,13,00839,Caapiranga,"12,877",,,,,,,,,
AM,13,00904,Canutama,"15,450",,,,,,,,,
AM,13,01001,Carauari,"28,076",,,,,,,,,
AM,13,01100,Careiro,"37,384",,,,,,,,,
AM,13,01159,Careiro da Várzea,"29,595",,,,,,,,,
AM,13,01209,Coari,"84,272",,,,,,,,,
AM,13,01308,Codajás,"28,100",,,,,,,,,
AM,13,01407,Eirunepé,"34,840",,,,,,,,,
AM,13,01506,Envira,"19,668",,,,,,,,,
AM,13,01605,Fonte Boa,"18,221",,,,,,,,,
AM,13,01654,Guajará,"16,416",,,,,,,,,
AM,13,01704,Humaitá,"54,001",,,,,,,,,
AM,13,01803,Ipixuna,"28,933",,,,,,,,,
AM,13,01852,Iranduba,"47,571",,,,,,,,,
AM,13,01902,Itacoatiara,"99,955",,,,,,,,,
AM,13,01951,Itamarati,"7,888",,,,,,,,,
AM,13,02009,Itapiranga,"9,064",,,,,,,,,
AM,13,02108,Japurá,"3,265",,,,,,,,,
AM,13,02207,Juruá,"14,312",,,,,,,,,
AM,13,02306,Jutaí,"14,753",,,,,,,,,
AM,13,02405,Lábrea,"45,245",,,,,,,,,
AM,13,02504,Manacapuru,"96,236",,,,,,,,,
AM,13,02553,Manaquiri,31.147 (2),,,,,,,,,
AM,13,02603,Manaus,"2,145,444",,,,,,,,,
AM,13,02702,Manicoré,"54,907",,,,,,,,,
AM,13,02801,Maraã,"18,186",,,,,,,,,
AM,13,02900,Maués,"62,755",,,,,,,,,
AM,13,03007,Nhamundá,"20,899",,,,,,,,,
AM,13,03106,Nova Olinda do Norte,"36,721",,,,,,,,,
AM,13,03205,Novo Airão,"18,974",,,,,,,,,
AM,13,03304,Novo Aripuanã,"25,237",,,,,,,,,
AM,13,03403,Parintins,"113,168",,,,,,,,,
AM,13,03502,Pauini,"19,329",,,,,,,,,
AM,13,03536,Presidente Figueiredo,"35,352",,,,,,,,,
AM,13,03569,Rio Preto da Eva,"32,577",,,,,,,,,
AM,13,03601,Santa Isabel do Rio Negro,24.436 (3),,,,,,,,,
AM,13,03700,Santo Antônio do Içá,"21,966",,,,,,,,,
AM,13,03809,São Gabriel da Cachoeira,"44,816",,,,,,,,,
AM,13,03908,São Paulo de Olivença,"38,515",,,,,,,,,
AM,13,03957,São Sebastião do Uatumã,"13,685",,,,,,,,,
AM,13,04005,Silves,"9,110",,,,,,,,,
AM,13,04062,Tabatinga,"64,488",,,,,,,,,
AM,13,04104,Tapauá,"17,299",,,,,,,,,
AM,13,04203,Tefé,"60,154",,,,,,,,,
AM,13,04237,Tonantins,"18,610",,,,,,,,,
AM,13,04260,Uarini,13.387 (4),,,,,,,,,
AM,13,04302,Urucará,16.383 (5),,,,,,,,,
AM,13,04401,Urucurituba,"22,537",,,,,,,,,
RR,14,00027,Amajari,"12,394",,,,,,,,,
RR,14,00050,Alto Alegre,"15,638",,,,,,,,,
RR,14,00100,Boa Vista,"375,374",,,,,,,,,
RR,14,00159,Bonfim,"12,257",,,,,,,,,
RR,14,00175,Cantá,"17,868",,,,,,,,,
RR,14,00209,Caracaraí,"21,564",,,,,,,,,
RR,14,00233,Caroebe,"9,950",,,,,,,,,
RR,14,00282,Iracema,"11,600",,,,,,,,,
RR,14,00308,Mucajaí,"17,528",,,,,,,,,
RR,14,00407,Normandia,"11,045",,,,,,,,,
RR,14,00456,Pacaraima,"15,580",,,,,,,,,
RR,14,00472,Rorainópolis,"29,533",,,,,,,,,
RR,14,00506,São João da Baliza,"8,052",,,,,,,,,
RR,14,00605,São Luiz,"7,860",,,,,,,,,
RR,14,00704,Uiramutã,"10,325",,,,,,,,,
PA,15,00107,Abaetetuba,"156,292",,,,,,,,,
PA,15,00131,Abel Figueiredo,"7,382",,,,,,,,,
PA,15,00206,Acará,"55,513",,,,,,,,,
PA,15,00305,Afuá,"38,863",,,,,,,,,
PA,15,00347,Água Azul do Norte,"27,241",,,,,,,,,
PA,15,00404,Alenquer,"56,480",,,,,,,,,
PA,15,00503,Almeirim,"34,142",,,,,,,,,
PA,15,00602,Altamira,"113,195",,,,,,,,,
PA,15,00701,Anajás,"28,859",,,,,,,,,
PA,15,00800,Ananindeua,"525,566",,,,,,,,,
PA,15,00859,Anapu,"27,161",,,,,,,,,
PA,15,00909,Augusto Corrêa,"45,516",,,,,,,,,
PA,15,00958,Aurora do Pará,"30,896",,,,,,,,,
PA,15,01006,Aveiro,"16,371",,,,,,,,,
PA,15,01105,Bagre,"30,009",,,,,,,,,
PA,15,01204,Baião,"46,416",,,,,,,,,
PA,15,01253,Bannach,"3,310",,,,,,,,,
PA,15,01303,Barcarena,"122,294",,,,,,,,,
PA,15,01402,Belém,"1,485,732",,,,,,,,,
PA,15,01451,Belterra,"17,624",,,,,,,,,
PA,15,01501,Benevides,"61,689",,,,,,,,,
PA,15,01576,Bom Jesus do Tocantins,"16,841",,,,,,,,,
PA,15,01600,Bonito,"16,038",,,,,,,,,
PA,15,01709,Bragança,"126,436",,,,,,,,,
PA,15,01725,Brasil Novo,"15,190",,,,,,,,,
PA,15,01758,Brejo Grande do Araguaia,"7,392",,,,,,,,,
PA,15,01782,Breu Branco,"64,738",,,,,,,,,
PA,15,01808,Breves,"101,891",,,,,,,,,
PA,15,01907,Bujaru,"28,832",,,,,,,,,
PA,15,01956,Cachoeira do Piriá,"33,178",,,,,,,,,
PA,15,02004,Cachoeira do Arari,"23,466",,,,,,,,,
PA,15,02103,Cametá,"136,390",,,,,,,,,
PA,15,02152,Canaã dos Carajás,"36,050",,,,,,,,,
PA,15,02202,Capanema,"68,616",,,,,,,,,
PA,15,02301,Capitão Poço,"54,179",,,,,,,,,
PA,15,02400,Castanhal,"198,294",,,,,,,,,
PA,15,02509,Chaves,"23,482",,,,,,,,,
PA,15,02608,Colares,"12,040",,,,,,,,,
PA,15,02707,Conceição do Araguaia,"47,734",,,,,,,,,
PA,15,02756,Concórdia do Pará,"32,847",,,,,,,,,
PA,15,02764,Cumaru do Norte,"13,179",,,,,,,,,
PA,15,02772,Curionópolis,"18,014",,,,,,,,,
PA,15,02806,Curralinho,"33,893",,,,,,,,,
PA,15,02855,Curuá,"14,197",,,,,,,,,
PA,15,02905,Curuçá,"39,540",,,,,,,,,
PA,15,02939,Dom Eliseu,"58,956",,,,,,,,,
PA,15,02954,Eldorado do Carajás,"33,674",,,,,,,,,
PA,15,03002,Faro,"7,319",,,,,,,,,
PA,15,03044,Floresta do Araguaia,"20,080",,,,,,,,,
PA,15,03077,Garrafão do Norte,"26,020",,,,,,,,,
PA,15,03093,Goianésia do Pará,"39,857",,,,,,,,,
PA,15,03101,Gurupá,"32,991",,,,,,,,,
PA,15,03200,Igarapé-Açu,"38,588",,,,,,,,,
PA,15,03309,Igarapé-Miri,"62,355",,,,,,,,,
PA,15,03408,Inhangapi,"11,559",,,,,,,,,
PA,15,03457,Ipixuna do Pará,"62,455",,,,,,,,,
PA,15,03507,Irituia,"32,504",,,,,,,,,
PA,15,03606,Itaituba,"101,097",,,,,,,,,
PA,15,03705,Itupiranga,"53,182",,,,,,,,,
PA,15,03754,Jacareacanga,8.899 (6),,,,,,,,,
