UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,
RO,11,00015,Alta Floresta D'Oeste,"22,728",,,,,,
RO,11,00023,Ariquemes,"109,523",,,,,,
RO,11,00031,Cabixi,"5,188",,,,,,
RO,11,00049,Cacoal,"85,893",,,,,,
RO,11,00056,Cerejeiras,"16,204",,,,,,
RO,11,00064,Colorado do Oeste,"15,544",,,,,,
RO,11,00072,Corumbiara,"7,220",,,,,,
RO,11,00080,Costa Marques,"18,798",,,,,,
RO,11,00098,Espigão D'Oeste,"32,695",,,,,,
RO,11,00106,Guajará-Mirim,"46,556",,,,,,
RO,11,00114,Jaru,"51,620",,,,,,
RO,11,00122,Ji-Paraná,"130,009",,,,,,
RO,11,00130,Machadinho D'Oeste,"40,867",,,,,,
RO,11,00148,Nova Brasilândia D'Oeste,"20,489",,,,,,
RO,11,00155,Ouro Preto do Oeste,"35,737",,,,,,
RO,11,00189,Pimenta Bueno,"36,881",,,,,,
RO,11,00205,Porto Velho,539354(1),,,,,,
RO,11,00254,Presidente Médici,"18,571",,,,,,
RO,11,00262,Rio Crespo,"3,804",,,,,,
RO,11,00288,Rolim de Moura,"55,407",,,,,,
RO,11,00296,Santa Luzia D'Oeste,"6,216",,,,,,
RO,11,00304,Vilhena,"102,211",,,,,,
RO,11,00320,São Miguel do Guaporé,"23,077",,,,,,
RO,11,00338,Nova Mamoré,"31,392",,,,,,
RO,11,00346,Alvorada D'Oeste,"14,106",,,,,,
RO,11,00379,Alto Alegre dos Parecis,"13,255",,,,,,
RO,11,00403,Alto Paraíso,"21,847",,,,,,
RO,11,00452,Buritis,"40,356",,,,,,
RO,11,00502,Novo Horizonte do Oeste,"8,329",,,,,,
RO,11,00601,Cacaulândia,"6,269",,,,,,
RO,11,00700,Campo Novo de Rondônia,"14,266",,,,,,
RO,11,00809,Candeias do Jamari,"27,388",,,,,,
RO,11,00908,Castanheiras,"2,987",,,,,,
RO,11,00924,Chupinguaia,"11,472",,,,,,
RO,11,00940,Cujubim,"26,183",,,,,,
RO,11,01005,Governador Jorge Teixeira,"7,445",,,,,,
RO,11,01104,Itapuã do Oeste,"10,641",,,,,,
RO,11,01203,Ministro Andreazza,"9,559",,,,,,
RO,11,01302,Mirante da Serra,"10,818",,,,,,
RO,11,01401,Monte Negro,"16,007",,,,,,
RO,11,01435,Nova União,"6,895",,,,,,
RO,11,01450,Parecis,"6,198",,,,,,
RO,11,01468,Pimenteiras do Oeste,"2,148",,,,,,
RO,11,01476,Primavera de Rondônia,"2,776",,,,,,
RO,11,01484,São Felipe D'Oeste,"5,066",,,,,,
RO,11,01492,São Francisco do Guaporé,"20,681",,,,,,
RO,11,01500,Seringueiras,"11,851",,,,,,
RO,11,01559,Teixeirópolis,"4,233",,,,,,
RO,11,01609,Theobroma,"10,395",,,,,,
RO,11,01708,Urupá,"11,272",,,,,,
RO,11,01757,Vale do Anari,"11,377",,,,,,
RO,11,01807,Vale do Paraíso,"6,656",,,,,,
AC,12,00013,Acrelândia,"15,490",,,,,,
AC,12,00054,Assis Brasil,"7,534",,,,,,
AC,12,00104,Brasiléia,"26,702",,,,,,
AC,12,00138,Bujari,"10,420",,,,,,
AC,12,00179,Capixaba,"12,008",,,,,,
AC,12,00203,Cruzeiro do Sul,"89,072",,,,,,
AC,12,00252,Epitaciolândia,"18,696",,,,,,
AC,12,00302,Feijó,"34,884",,,,,,
AC,12,00328,Jordão,"8,473",,,,,,
AC,12,00336,Mâncio Lima,"19,311",,,,,,
AC,12,00344,Manoel Urbano,"9,581",,,,,,
AC,12,00351,Marechal Thaumaturgo,"19,299",,,,,,
AC,12,00385,Plácido de Castro,"19,955",,,,,,
AC,12,00393,Porto Walter,"12,241",,,,,,
AC,12,00401,Rio Branco,"413,418",,,,,,
AC,12,00427,Rodrigues Alves,"19,351",,,,,,
AC,12,00435,Santa Rosa do Purus,"6,717",,,,,,
AC,12,00450,Senador Guiomard,"23,236",,,,,,
AC,12,00500,Sena Madureira,"46,511",,,,,,
AC,12,00609,Tarauacá,"43,151",,,,,,
AC,12,00708,Xapuri,"19,596",,,,,,
AC,12,00807,Porto Acre,"18,824",,,,,,
AM,13,00029,Alvarães,"16,220",,,,,,
AM,13,00060,Amaturá,"11,736",,,,,,
AM,13,00086,Anamã,"13,956",,,,,,
AM,13,00102,Anori,"21,477",,,,,,
AM,13,00144,Apuí,"22,359",,,,,,
AM,13,00201,Atalaia do Norte,"20,398",,,,,,
AM,13,00300,Autazes,"40,290",,,,,,
AM,13,00409,Barcelos,"27,638",,,,,,
AM,13,00508,Barreirinha,"32,483",,,,,,
AM,13,00607,Benjamin Constant,"43,935",,,,,,
AM,13,00631,Beruri,"20,093",,,,,,
AM,13,00680,Boa Vista do Ramos,"19,626",,,,,,
AM,13,00706,Boca do Acre,"34,635",,,,,,
AM,13,00805,Borba,"41,748",,,,,,
AM,13,00839,Caapiranga,"13,283",,,,,,
AM,13,00904,Canutama,"15,807",,,,,,
AM,13,01001,Carauari,"28,508",,,,,,
AM,13,01100,Careiro,"38,348",,,,,,
AM,13,01159,Careiro da Várzea,"30,846",,,,,,
AM,13,01209,Coari,"85,910",,,,,,
AM,13,01308,Codajás,"29,168",,,,,,
AM,13,01407,Eirunepé,"35,700",,,,,,
AM,13,01506,Envira,"20,393",,,,,,
AM,13,01605,Fonte Boa,"17,005",,,,,,
AM,13,01654,Guajará,"16,937",,,,,,
AM,13,01704,Humaitá,"56,144",,,,,,
AM,13,01803,Ipixuna,"30,436",,,,,,
AM,13,01852,Iranduba,"49,011",,,,,,
AM,13,01902,Itacoatiara,"102,701",,,,,,
AM,13,01951,Itamarati,"7,814",,,,,,
AM,13,02009,Itapiranga,"9,230",,,,,,
AM,13,02108,Japurá,"2,251",,,,,,
AM,13,02207,Juruá,"15,106",,,,,,
AM,13,02306,Jutaí,"13,886",,,,,,
AM,13,02405,Lábrea,"46,882",,,,,,
AM,13,02504,Manacapuru,"98,502",,,,,,
AM,13,02553,Manaquiri,33049 (2),,,,,,
AM,13,02603,Manaus,"2,219,580",,,,,,
AM,13,02702,Manicoré,"56,583",,,,,,
AM,13,02801,Maraã,"18,261",,,,,,
AM,13,02900,Maués,"65,040",,,,,,
AM,13,03007,Nhamundá,"21,443",,,,,,
AM,13,03106,Nova Olinda do Norte,"38,026",,,,,,
AM,13,03205,Novo Airão,"19,928",,,,,,
AM,13,03304,Novo Aripuanã,"26,046",,,,,,
AM,13,03403,Parintins,"115,363",,,,,,
AM,13,03502,Pauini,"19,522",,,,,,
AM,13,03536,Presidente Figueiredo,"37,193",,,,,,
AM,13,03569,Rio Preto da Eva,"34,106",,,,,,
AM,13,03601,Santa Isabel do Rio Negro,25865(3),,,,,,
AM,13,03700,Santo Antônio do Içá,"21,243",,,,,,
AM,13,03809,São Gabriel da Cachoeira,"46,303",,,,,,
AM,13,03908,São Paulo de Olivença,"40,073",,,,,,
AM,13,03957,São Sebastião do Uatumã,"14,352",,,,,,
AM,13,04005,Silves,"9,230",,,,,,
AM,13,04062,Tabatinga,"67,182",,,,,,
AM,13,04104,Tapauá,"17,015",,,,,,
AM,13,04203,Tefé,"59,547",,,,,,
AM,13,04237,Tonantins,"18,897",,,,,,
AM,13,04260,Uarini,"13,690",,,,,,
AM,13,04302,Urucará,16130 (4),,,,,,
AM,13,04401,Urucurituba,"23,585",,,,,,
RR,14,00027,Amajari,"13,185",,,,,,
RR,14,00050,Alto Alegre,"15,380",,,,,,
RR,14,00100,Boa Vista,"419,652",,,,,,
RR,14,00159,Bonfim,"12,557",,,,,,
RR,14,00175,Cantá,"18,799",,,,,,
RR,14,00209,Caracaraí,"22,283",,,,,,
RR,14,00233,Caroebe,"10,383",,,,,,
RR,14,00282,Iracema,"12,296",,,,,,
RR,14,00308,Mucajaí,"18,172",,,,,,
RR,14,00407,Normandia,"11,532",,,,,,
RR,14,00456,Pacaraima,"18,913",,,,,,
RR,14,00472,Rorainópolis,"30,782",,,,,,
RR,14,00506,São João da Baliza,"8,348",,,,,,
RR,14,00605,São Luiz,"8,110",,,,,,
RR,14,00704,Uiramutã,"10,789",,,,,,
PA,15,00107,Abaetetuba,"159,080",,,,,,
PA,15,00131,Abel Figueiredo,"7,486",,,,,,
PA,15,00206,Acará,"55,669",,,,,,
PA,15,00305,Afuá,"39,567",,,,,,
PA,15,00347,Água Azul do Norte,"27,615",,,,,,
PA,15,00404,Alenquer,"57,092",,,,,,
PA,15,00503,Almeirim,"34,076",,,,,,
PA,15,00602,Altamira,"115,969",,,,,,
PA,15,00701,Anajás,"29,688",,,,,,
PA,15,00800,Ananindeua,"535,547",,,,,,
PA,15,00859,Anapu,"28,607",,,,,,
PA,15,00909,Augusto Corrêa,"46,471",,,,,,
PA,15,00958,Aurora do Pará,"31,773",,,,,,
PA,15,01006,Aveiro,"16,404",,,,,,
PA,15,01105,Bagre,"31,325",,,,,,
PA,15,01204,Baião,"48,459",,,,,,
PA,15,01253,Bannach,"3,262",,,,,,
PA,15,01303,Barcarena,"127,027",,,,,,
PA,15,01402,Belém,"1,499,641",,,,,,
PA,15,01451,Belterra,"17,839",,,,,,
PA,15,01501,Benevides,"63,768",,,,,,
PA,15,01576,Bom Jesus do Tocantins,"17,118",,,,,,
PA,15,01600,Bonito,"16,530",,,,,,
PA,15,01709,Bragança,"128,914",,,,,,
PA,15,01725,Brasil Novo,"14,983",,,,,,
PA,15,01758,Brejo Grande do Araguaia,"7,368",,,,,,
PA,15,01782,Breu Branco,"67,332",,,,,,
PA,15,01808,Breves,"103,497",,,,,,
PA,15,01907,Bujaru,"29,427",,,,,,
PA,15,01956,Cachoeira do Piriá,"34,609",,,,,,
PA,15,02004,Cachoeira do Arari,"24,064",,,,,,
PA,15,02103,Cametá,"139,364",,,,,,
PA,15,02152,Canaã dos Carajás,"38,103",,,,,,
PA,15,02202,Capanema,"69,431",,,,,,
PA,15,02301,Capitão Poço,"54,425",,,,,,
PA,15,02400,Castanhal,"203,251",,,,,,
PA,15,02509,Chaves,"23,948",,,,,,
PA,15,02608,Colares,"12,131",,,,,,
PA,15,02707,Conceição do Araguaia,"47,991",,,,,,
PA,15,02756,Concórdia do Pará,"33,781",,,,,,
PA,15,02764,Cumaru do Norte,"13,761",,,,,,
PA,15,02772,Curionópolis,"17,846",,,,,,
PA,15,02806,Curralinho,"34,994",,,,,,
